Recencia,Frequencia,Quantidade,Tempo,Doou
2,4,1000,115,0
9,4,1000,119,0
10,3,750,5,0
9,20,5000,59,0
9,26,6500,70,0
4,38,9500,17,0
0,24,6000,79,0
5,50,12500,11,0
0,11,2750,16,1
6,49,12250,53,1
7,19,4750,84,1
11,19,4750,46,0
5,38,9500,105,1
6,36,9000,69,1
9,28,7000,3,0
11,40,10000,31,0
6,47,11750,94,1
9,41,10250,56,0
11,33,8250,40,1
10,46,11500,29,1
0,30,7500,35,0
11,28,7000,26,1
9,7,1750,97,1
6,37,9250,4,1
6,39,9750,41,1
6,31,7750,91,0
3,39,9750,49,0
12,2,500,32,0
8,3,750,54,0
9,21,5250,28,0
6,34,8500,23,0
12,6,1500,100,1
10,40,10000,70,1
7,15,3750,30,1
3,50,12500,94,1
9,48,12000,115,1
6,3,750,38,1
5,42,10500,25,1
11,6,1500,28,0
11,21,5250,112,1
7,7,1750,24,0
5,8,2000,55,0
9,8,2000,81,1
9,27,6750,66,1
12,32,8000,6,1
7,37,9250,56,0
6,10,2500,75,1
11,26,6500,43,1
0,49,12250,103,1
12,4,1000,21,0
1,25,6250,69,0
0,43,10750,24,1
0,14,3500,34,0
1,12,3000,78,0
2,38,9500,104,0
4,1,250,66,0
2,2,500,24,1
12,42,10500,17,0
0,32,8000,58,0
7,25,6250,117,1
0,25,6250,37,0
12,45,11250,114,1
3,41,10250,77,1
6,43,10750,116,1
6,9,2250,65,1
4,27,6750,69,0
10,32,8000,74,0
2,28,7000,29,0
11,4,1000,24,0
0,13,3250,10,1
0,22,5500,36,0
8,28,7000,74,0
8,35,8750,98,1
9,13,3250,26,1
4,9,2250,12,0
12,9,2250,68,1
1,45,11250,108,1
3,9,2250,54,1
4,12,3000,25,0
10,32,8000,1,0
11,26,6500,88,1
2,35,8750,98,0
4,18,4500,47,1
12,33,8250,104,1
11,41,10250,67,0
12,39,9750,45,1
9,34,8500,66,0
8,31,7750,59,0
3,15,3750,69,1
6,7,1750,27,0
2,4,1000,101,0
6,13,3250,101,1
10,2,500,56,1
10,40,10000,8,0
6,27,6750,47,0
12,26,6500,72,0
3,50,12500,77,1
8,25,6250,90,1
8,46,11500,41,1
3,26,6500,81,0
2,46,11500,76,1
10,26,6500,87,0
0,47,11750,40,0
5,28,7000,24,0
12,10,2500,13,0
11,22,5500,23,0
9,3,750,38,0
4,27,6750,5,0
12,15,3750,43,0
4,3,750,24,1
1,11,2750,90,1
5,19,4750,42,0
4,25,6250,24,0
7,29,7250,58,1
5,37,9250,75,1
12,37,9250,106,1
10,31,7750,37,1
10,32,8000,8,1
11,44,11000,75,0
9,1,250,74,0
12,2,500,32,0
6,39,9750,79,1
1,34,8500,78,1
0,3,750,75,1
2,15,3750,85,1
3,50,12500,54,0
2,19,4750,80,1
7,11,2750,44,0
6,25,6250,13,1
2,20,5000,49,0
12,24,6000,45,1
4,22,5500,7,1
10,26,6500,43,0
6,44,11000,63,0
0,50,12500,3,1
11,46,11500,86,0
6,22,5500,76,1
3,3,750,20,0
6,18,4500,36,1
12,3,750,77,0
11,50,12500,88,1
2,21,5250,38,0
0,33,8250,108,1
10,25,6250,109,1
11,6,1500,64,0
5,31,7750,24,1
3,20,5000,41,1
7,50,12500,10,0
3,33,8250,80,1
11,1,250,74,0
8,11,2750,24,0
2,18,4500,28,0
11,22,5500,105,0
12,6,1500,120,0
11,25,6250,72,1
7,28,7000,47,0
6,35,8750,57,0
0,40,10000,35,1
8,22,5500,68,0
12,19,4750,30,1
3,28,7000,118,1
12,50,12500,86,0
7,47,11750,115,1
2,28,7000,18,0
1,7,1750,90,1
1,45,11250,80,0
7,17,4250,36,1
7,18,4500,31,1
2,26,6500,108,1
3,3,750,55,0
10,25,6250,67,0
1,32,8000,41,1
10,14,3500,58,1
12,23,5750,105,1
1,31,7750,63,0
3,17,4250,51,1
11,10,2500,39,1
1,16,4000,95,0
12,41,10250,90,1
2,4,1000,58,0
3,48,12000,98,0
9,38,9500,52,0
4,43,10750,61,0
7,10,2500,37,1
9,5,1250,89,0
5,18,4500,32,0
6,9,2250,63,0
8,6,1500,72,1
12,45,11250,47,1
12,27,6750,57,1
8,30,7500,99,1
0,38,9500,64,1
1,23,5750,115,0
11,42,10500,52,0
10,46,11500,71,0
9,31,7750,80,1
6,6,1500,37,1
12,15,3750,42,1
10,33,8250,54,0
12,16,4000,112,1
11,27,6750,74,0
2,32,8000,23,0
5,24,6000,42,0
12,32,8000,37,0
9,49,12250,109,0
8,26,6500,8,1
11,37,9250,65,1
8,7,1750,35,0
4,8,2000,4,0
1,33,8250,106,0
4,4,1000,7,0
1,37,9250,43,1
9,35,8750,69,1
5,32,8000,51,1
2,26,6500,100,1
8,15,3750,81,1
12,13,3250,90,1
2,40,10000,20,1
6,36,9000,21,1
1,40,10000,73,1
11,24,6000,45,1
11,4,1000,28,0
1,15,3750,55,1
9,2,500,85,0
2,39,9750,85,0
4,9,2250,68,1
9,45,11250,89,0
3,16,4000,8,1
4,36,9000,93,0
9,24,6000,112,0
4,3,750,27,0
8,15,3750,16,0
9,18,4500,79,0
1,30,7500,115,1
10,2,500,49,0
9,41,10250,91,1
11,28,7000,120,0
0,7,1750,108,0
9,33,8250,11,1
8,29,7250,55,1
5,14,3500,10,0
3,43,10750,72,1
9,6,1500,96,1
10,49,12250,77,1
12,31,7750,61,0
10,24,6000,30,1
3,42,10500,114,1
9,32,8000,16,0
4,8,2000,79,1
11,38,9500,96,1
12,25,6250,24,0
0,17,4250,96,0
4,22,5500,4,1
11,13,3250,110,0
7,50,12500,115,0
11,19,4750,87,1
10,22,5500,102,1
0,14,3500,103,1
12,19,4750,101,0
3,33,8250,16,1
5,50,12500,113,0
12,9,2250,98,0
10,35,8750,27,0
10,41,10250,57,0
11,31,7750,52,0
12,24,6000,58,1
11,30,7500,101,1
7,10,2500,52,0
6,49,12250,120,0
6,43,10750,74,0
4,29,7250,61,1
2,44,11000,44,0
2,24,6000,19,1
0,17,4250,42,0
12,8,2000,83,1
1,7,1750,88,0
10,34,8500,104,0
12,18,4500,62,1
12,10,2500,68,0
10,15,3750,35,1
3,22,5500,70,0
6,38,9500,65,1
5,18,4500,100,1
1,30,7500,17,0
8,13,3250,73,0
0,23,5750,5,0
10,30,7500,14,0
2,44,11000,81,1
12,20,5000,80,1
9,30,7500,8,1
8,49,12250,3,0
7,3,750,117,1
3,34,8500,56,0
4,29,7250,16,1
3,23,5750,31,1
0,22,5500,27,0
5,17,4250,17,0
8,20,5000,34,0
6,34,8500,1,1
8,36,9000,69,1
5,40,10000,113,1
9,49,12250,6,0
3,44,11000,7,0
10,42,10500,80,0
3,29,7250,69,0
0,23,5750,116,1
11,19,4750,83,1
4,40,10000,110,1
3,13,3250,105,1
12,6,1500,103,0
10,32,8000,7,0
1,33,8250,39,1
10,8,2000,89,0
3,47,11750,43,0
9,31,7750,92,0
4,26,6500,28,1
3,31,7750,60,1
11,7,1750,11,0
3,49,12250,90,1
2,25,6250,110,0
6,46,11500,16,1
10,32,8000,80,0
6,7,1750,6,0
10,41,10250,35,1
12,8,2000,111,0
